Month,Sector,Apprehensions
1,Big Bend,473
1,Del Rio,1243
1,El Centro,1796
1,El Paso,2779
1,Laredo,2265
1,Rio Grande Valley,15580
1,San Diego,2927
1,Tucson,3357
1,Yuma,1156
2,Big Bend,383
2,Del Rio,1104
2,El Centro,1196
2,El Paso,1575
2,Laredo,1710
2,Rio Grande Valley,7855
2,San Diego,1808
2,Tucson,2589
2,Yuma,534
3,Big Bend,357
3,Del Rio,746
3,El Centro,871
3,El Paso,978
3,Laredo,1256
3,Rio Grande Valley,4147
3,San Diego,1356
3,Tucson,2148
3,Yuma,336
4,Big Bend,413
4,Del Rio,589
4,El Centro,849
4,El Paso,906
4,Laredo,1304
4,Rio Grande Valley,3942
4,San Diego,1392
4,Tucson,1487
4,Yuma,245
5,Big Bend,552
5,Del Rio,740
5,El Centro,1134
5,El Paso,1032
5,Laredo,1722
5,Rio Grande Valley,4882
5,San Diego,1724
5,Tucson,2199
5,Yuma,534
6,Big Bend,378
6,Del Rio,761
6,El Centro,1280
6,El Paso,1180
6,Laredo,1839
6,Rio Grande Valley,5817
6,San Diego,1652
6,Tucson,2632
6,Yuma,548
7,Big Bend,492
7,Del Rio,760
7,El Centro,1478
7,El Paso,1395
7,Laredo,2120
7,Rio Grande Valley,7107
7,San Diego,1764
7,Tucson,2177
7,Yuma,894
8,Big Bend,563
8,Del Rio,798
8,El Centro,1880
8,El Paso,1782
8,Laredo,2143
8,Rio Grande Valley,8650
8,San Diego,2241
8,Tucson,2913
8,Yuma,1318
9,Big Bend,614
9,Del Rio,932
9,El Centro,1988
9,El Paso,1540
9,Laredo,2097
9,Rio Grande Valley,8836
9,San Diego,2242
9,Tucson,3016
9,Yuma,1272
10,Big Bend,697
10,Del Rio,2106
10,El Centro,2441
10,El Paso,3973
10,Laredo,3350
10,Rio Grande Valley,22642
10,San Diego,2934
10,Tucson,5924
10,Yuma,2117
11,Big Bend,603
11,Del Rio,1880
11,El Centro,1850
11,El Paso,4105
11,Laredo,3194
11,Rio Grande Valley,24686
11,San Diego,2947
11,Tucson,5912
11,Yuma,2034
12,Big Bend,477
12,Del Rio,1817
12,El Centro,1870
12,El Paso,3948
12,Laredo,2460
12,Rio Grande Valley,23418
12,San Diego,3099
12,Tucson,4303
12,Yuma,1859
